leto,prebivalstvo,javna_poraba_mrd_usd,Inflation Rate (%),javna_poraba_mrd_usd_adj,javna_na_prebivalca_usd_adj,javna_delez_bdp,zasebna_poraba_mrd_usd,zasebna_poraba_mrd_usd_adj,zasebna_na_prebivalca_usd_adj,zasebna_delez_bdp,delez_javne_porabe_adj,zdravniki_na_1000,zdravstveno_osebje_na_1000,pricakovana_zivljenjska_doba,infant_mortality_rate,CRR_efficiency,malmquist_indeks
2000,282162411,586.4,3.38,586.4,2078.5,5.9,775.4,775.4,2748.3,7.8,43.1,2.56,11.8,76.8,6.89,0.0,
2001,284968955,642.1,2.83,624.3,2190.8,6.1,832.7,809.4,2840.9,8.1,43.5,2.58,13.02,77.0,6.87,0.6287964576390315,0.9961240310077519
2002,287625193,710.8,1.59,700.1,2433.9,6.5,893.1,866.5,3012.1,8.5,44.7,2.6,12.24,77.3,6.89,0.4206725523147523,0.9948817719245734
2003,290107933,776.2,2.27,716.2,2468.8,6.9,946.8,873.9,3012.3,8.6,45.0,2.62,12.46,77.6,6.89,0.4513354712174734,0.9962177695703267
2004,292805298,832.5,2.68,735.5,2511.9,7.0,1003.5,886.5,3026.9,8.6,45.4,2.63,12.68,77.8,6.86,0.5540224228003854,1.0006908784445927
2005,295516599,886.3,3.39,760.4,2573.2,7.0,1062.3,911.6,3084.9,8.5,45.5,2.65,12.9,78.0,6.86,0.6179022648930458,0.9949992133322036
2006,298379912,938.7,3.23,784.5,2629.7,7.0,1120.9,936.6,3139.4,8.4,45.6,2.67,13.12,78.2,6.86,0.6757426664057145,0.9950493744623444
2007,301231207,1002.1,2.85,806.9,2678.9,7.1,1178.5,948.5,3149.0,8.4,46.0,2.69,13.34,78.4,6.75,0.724398085369655,1.0020663166659947
2008,304093966,1078.9,3.84,837.8,2755.1,7.3,1239.2,962.4,3164.9,8.5,46.5,2.71,13.56,78.5,6.61,0.8070253575960269,1.002659065781546
2009,306771529,1194.3,-0.36,834.6,2720.6,8.3,1283.7,896.8,2922.7,8.9,48.2,2.73,13.78,78.7,6.48,0.7503680314464128,1.003234354298193
2010,309327143,1263.8,1.64,848.3,2742.1,8.4,1332.6,894.0,2889.8,8.9,48.7,2.75,14.0,78.8,6.15,0.7641708453966679,1.014241486068118
2011,311580009,1316.4,3.16,874.9,2808.2,8.3,1382.4,918.8,2949.0,8.9,48.8,2.77,14.22,78.9,6.05,0.834090128069317,0.9999999999999923
2012,313874218,1365.2,2.07,893.0,2845.4,8.1,1430.8,935.4,2980.6,8.9,48.8,2.79,14.44,79.0,6.05,0.8676469455832843,0.9940262843488598
2013,316057727,1416.7,1.46,906.0,2866.5,8.0,1481.2,947.2,2996.8,8.9,48.9,2.81,14.66,79.1,6.0,0.8809464728185405,0.9989979982206458
2014,318386421,1482.5,1.62,920.7,2891.9,8.0,1536.9,954.5,2998.2,8.9,49.1,2.83,14.88,79.2,5.87,0.8996563322400369,1.0070186498636287
2015,320738994,1556.1,0.12,921.9,2874.8,8.1,1603.4,949.4,2960.1,9.0,49.3,2.85,15.1,79.3,5.87,0.86489197819288,0.9999999999999998
2016,323071755,1633.8,1.26,933.7,2890.5,8.1,1672.1,955.4,2957.6,9.1,49.4,2.87,15.32,79.4,5.87,0.8713971347756525,0.995239932265862
2017,325147121,1712.4,2.13,953.6,2933.0,8.1,1741.8,970.3,2984.3,9.1,49.6,2.89,15.54,79.5,5.79,0.911622501263357,1.004782834349603
2018,327167439,1796.2,2.44,977.3,2987.4,8.2,1812.5,986.3,3014.9,9.0,49.8,2.91,15.76,79.6,5.79,0.9668206475222818,0.9940686031469339
2019,329064917,1892.6,1.81,995.2,3024.3,8.4,1889.3,993.3,3018.3,9.0,50.1,2.93,15.98,79.7,5.79,1.0,0.9941146696178722
2020,331002651,2246.1,1.23,1007.6,3044.2,10.0,1912.7,858.0,2592.1,9.3,54.0,2.96,16.2,77.0,5.58,0.9500830120675444,1.0119222852115766
2021,331449281,2153.8,4.7,1054.7,3182.8,9.7,2012.4,943.5,2847.2,8.9,52.8,3.06,16.59,76.1,5.44,0.7026968567473556,0.9999999999999998
2022,332403650,2302.4,8.0,1139.1,3426.8,9.3,2163.5,1019.0,3065.0,8.7,52.8,3.12,16.76,77.5,5.61,0.724588907855777,0.9521926416309558
